Base Model,Community Ranking Source,Num Communities,Last Community ID Added,Cumulative Regions,Cumulative Features,Train Accuracy (3-Way),Test Accuracy (3-Way)
OVR_L2_logistic,OVR_L2_logistic_Cannabis,1,9,10,945,0.5630397236614854,0.4407894736842105
OVR_L2_logistic,OVR_L2_logistic_Cannabis,2,3,18,1629,0.6234887737478411,0.4934210526315789
OVR_L2_logistic,OVR_L2_logistic_Cannabis,3,18,29,2465,0.853195164075993,0.6710526315789473
OVR_L2_logistic,OVR_L2_logistic_Cannabis,4,14,40,3180,0.9447322970639033,0.7171052631578947
OVR_L2_logistic,OVR_L2_logistic_Cannabis,5,2,46,3519,0.9620034542314335,0.7302631578947368
OVR_L2_logistic,OVR_L2_logistic_Cannabis,6,17,55,3960,0.9879101899827288,0.756578947368421
OVR_L2_logistic,OVR_L2_logistic_Cannabis,7,7,66,4389,1.0,0.7697368421052632
OVR_L2_logistic,OVR_L2_logistic_Cannabis,8,23,67,4422,1.0,0.7697368421052632
OVR_L2_logistic,OVR_L2_logistic_Cannabis,9,15,70,4515,1.0,0.756578947368421
OVR_L2_logistic,OVR_L2_logistic_Cannabis,10,20,71,4544,1.0,0.7631578947368421
OVR_L2_logistic,OVR_L2_logistic_Cannabis,11,30,74,4625,1.0,0.7697368421052632
OVR_L2_logistic,OVR_L2_logistic_Cannabis,12,32,75,4650,1.0,0.7697368421052632
OVR_L2_logistic,OVR_L2_logistic_Cannabis,13,11,76,4674,1.0,0.7697368421052632
OVR_L2_logistic,OVR_L2_logistic_Cannabis,14,19,77,4697,1.0,0.7631578947368421
OVR_L2_logistic,OVR_L2_logistic_Cannabis,15,31,79,4740,1.0,0.7697368421052632
OVR_L2_logistic,OVR_L2_logistic_Cannabis,16,12,80,4760,1.0,0.7828947368421053
OVR_L2_logistic,OVR_L2_logistic_Cannabis,17,10,81,4779,1.0,0.7894736842105263
OVR_L2_logistic,OVR_L2_logistic_Cannabis,18,26,82,4797,1.0,0.7894736842105263
OVR_L2_logistic,OVR_L2_logistic_Cannabis,19,27,83,4814,1.0,0.7828947368421053
OVR_L2_logistic,OVR_L2_logistic_Cannabis,20,34,84,4830,1.0,0.7828947368421053
OVR_L2_logistic,OVR_L2_logistic_Cannabis,21,13,85,4845,1.0,0.7894736842105263
OVR_L2_logistic,OVR_L2_logistic_Cannabis,22,8,86,4859,1.0,0.7828947368421053
OVR_L2_logistic,OVR_L2_logistic_Cannabis,23,16,87,4872,1.0,0.7763157894736842
OVR_L2_logistic,OVR_L2_logistic_Cannabis,24,24,88,4884,1.0,0.7828947368421053
OVR_L2_logistic,OVR_L2_logistic_Cannabis,25,25,89,4895,1.0,0.7828947368421053
OVR_L2_logistic,OVR_L2_logistic_Cannabis,26,35,90,4905,1.0,0.7894736842105263
OVR_L2_logistic,OVR_L2_logistic_Cannabis,27,4,91,4914,1.0,0.7894736842105263
OVR_L2_logistic,OVR_L2_logistic_Cannabis,28,36,92,4922,1.0,0.7828947368421053
OVR_L2_logistic,OVR_L2_logistic_Cannabis,29,28,93,4929,1.0,0.7828947368421053
OVR_L2_logistic,OVR_L2_logistic_Cannabis,30,21,94,4935,1.0,0.7828947368421053
OVR_L2_logistic,OVR_L2_logistic_Cannabis,31,33,95,4940,1.0,0.7828947368421053
OVR_L2_logistic,OVR_L2_logistic_Cannabis,32,22,96,4944,1.0,0.7828947368421053
OVR_L2_logistic,OVR_L2_logistic_Cannabis,33,6,97,4947,1.0,0.7828947368421053
OVR_L2_logistic,OVR_L2_logistic_Cannabis,34,29,98,4949,1.0,0.7828947368421053
OVR_L2_logistic,OVR_L2_logistic_Cannabis,35,1,99,4950,1.0,0.7828947368421053
OVR_L2_logistic,OVR_L2_logistic_Cannabis,36,5,100,4950,1.0,0.7828947368421053
