Community ID,N Regions,Mean DC,Parcel Names,Parcel Indices
1,19,0.025667431024188173,"['LH_DorsAttn_Post_1', 'LH_Vis_1', 'LH_Vis_2', 'LH_Vis_3', 'LH_Vis_4', 'LH_Vis_5', 'LH_Vis_6', 'LH_Vis_7', 'LH_Vis_8', 'RH_Cont_Par_2', 'RH_Cont_pCun_1', 'RH_Default_pCunPCC_2', 'RH_Vis_2', 'RH_Vis_3', 'RH_Vis_4', 'RH_Vis_5', 'RH_Vis_6', 'RH_Vis_7', 'RH_Vis_8']",[15 88 54 53  6  1  5  3 81  0 56  2 55 57 52  4 51 99  7]
8,8,0.02404517127499344,"['LH_Default_PFC_1', 'LH_Default_PFC_2', 'LH_Default_PFC_3', 'LH_Default_PFC_4', 'LH_DorsAttn_Post_5', 'RH_Default_Par_1', 'RH_DorsAttn_Post_1', 'RH_DorsAttn_Post_4']",[44 89 69 42 66 43 41 19]
6,10,0.02365377440616839,"['LH_Cont_PFCl_1', 'LH_Cont_pCun_1', 'LH_DorsAttn_Post_2', 'LH_DorsAttn_Post_4', 'LH_SalVentAttn_ParOper_1', 'RH_DorsAttn_FEF_1', 'RH_DorsAttn_Post_2', 'RH_DorsAttn_Post_3', 'RH_DorsAttn_Post_5', 'RH_SomMot_8']",[70 68 16 72 67 35 65 18 23 34]
19,9,0.021622210860696954,"['LH_Cont_Par_1', 'LH_Default_Par_2', 'LH_Default_pCunPCC_1', 'RH_Cont_PFCl_1', 'RH_Default_PFCdPFCm_2', 'RH_Default_PFCdPFCm_3', 'RH_Default_PFCv_2', 'RH_Default_pCunPCC_1', 'RH_Limbic_OFC_1']",[33 78 48 97 94 98 96 40 82]
2,8,0.021285011538089517,"['LH_SomMot_1', 'LH_SomMot_4', 'LH_Vis_9', 'RH_Limbic_TempPole_1', 'RH_SalVentAttn_TempOccPar_1', 'RH_SomMot_1', 'RH_SomMot_2', 'RH_SomMot_3']",[73 58  9 60 12  8 59 79]
3,9,0.0209789028758477,"['LH_Default_PFC_5', 'LH_DorsAttn_PrCv_1', 'LH_SomMot_2', 'LH_SomMot_3', 'RH_Cont_PFCl_2', 'RH_Cont_PFCl_4', 'RH_DorsAttn_PrCv_1', 'RH_SalVentAttn_FrOperIns_1', 'RH_SalVentAttn_TempOccPar_2']",[11 21 71 10 83 45 74 75 85]
17,8,0.019818568724177484,"['LH_Default_Par_1', 'LH_Default_Temp_1', 'LH_Default_Temp_2', 'LH_Limbic_TempPole_1', 'RH_Cont_Cing_1', 'RH_Default_PFCv_1', 'RH_Default_Temp_1', 'RH_Default_Temp_2']",[91 86 39 31 93 38 37 90]
30,1,0.019372935925603504,['RH_Default_Temp_3'],[92]
24,1,0.018668214290649313,['RH_Vis_1'],[50]
23,1,0.01789440229932706,['LH_Default_pCunPCC_2'],[49]
14,5,0.017836366399977894,"['LH_SalVentAttn_Med_1', 'LH_SalVentAttn_Med_2', 'RH_Cont_PFCl_3', 'RH_Cont_Par_1', 'RH_SalVentAttn_Med_2']",[84 80 28 27 77]
16,1,0.017687131230222884,['LH_Limbic_OFC_1'],[30]
29,1,0.015614420539181143,['RH_Cont_PFCmp_1'],[87]
10,1,0.01365225441832829,['LH_DorsAttn_FEF_1'],[22]
4,1,0.013569345990686621,['LH_SomMot_5'],[13]
26,1,0.012781715928090758,['RH_SomMot_6'],[63]
7,1,0.01253299064516575,['LH_DorsAttn_Post_3'],[17]
12,1,0.012090812364410175,['LH_SalVentAttn_FrOperIns_2'],[25]
9,1,0.011911177437853224,['LH_DorsAttn_Post_6'],[20]
5,1,0.011772996725117108,['LH_SomMot_6'],[14]
31,1,0.011648634083654604,['RH_Default_PFCdPFCm_1'],[95]
11,1,0.010819549807237906,['LH_SalVentAttn_FrOperIns_1'],[24]
18,1,0.010612278738133732,['LH_Limbic_TempPole_2'],[32]
13,1,0.010446461882850392,['LH_SalVentAttn_PFCl_1'],[26]
15,1,0.009824648675537869,['LH_SalVentAttn_Med_3'],[29]
22,1,0.009617377606433695,['LH_Default_PFC_7'],[47]
27,1,0.009313380038414238,['RH_SomMot_7'],[64]
25,2,0.007523939808481532,"['RH_SomMot_4', 'RH_SomMot_5']",[62 61]
28,1,0.006743218781522476,['RH_SalVentAttn_Med_1'],[76]
21,1,0.005361411654161313,['LH_Default_PFC_6'],[46]
20,1,0.005015959872321022,['LH_Cont_Cing_1'],[36]
