Community ID,N Regions,Mean DC,Parcel Names,Parcel Indices
9,10,0.038979397255731046,"['LH_DorsAttn_FEF_1', 'LH_DorsAttn_Post_3', 'LH_DorsAttn_Post_5', 'LH_DorsAttn_Post_6', 'LH_SalVentAttn_Med_2', 'LH_SalVentAttn_Med_3', 'LH_SalVentAttn_ParOper_1', 'RH_DorsAttn_FEF_1', 'RH_DorsAttn_Post_4', 'RH_DorsAttn_Post_5']",[70 29 72 69 23 28 22 19 20 17]
3,8,0.026178336027857234,"['LH_DorsAttn_Post_1', 'LH_Vis_4', 'LH_Vis_5', 'LH_Vis_7', 'RH_DorsAttn_Post_1', 'RH_Vis_3', 'RH_Vis_4', 'RH_Vis_5']",[15 52 53 54  6  4 66  3]
18,11,0.025787033373154508,"['LH_Cont_Cing_1', 'LH_Cont_pCun_1', 'LH_Default_Par_1', 'LH_Default_Temp_1', 'LH_Default_Temp_2', 'LH_Default_pCunPCC_2', 'RH_Cont_Cing_1', 'RH_Cont_pCun_1', 'RH_Default_Temp_2', 'RH_Default_Temp_3', 'RH_Default_pCunPCC_2']",[91 49 88 86 39 35 38 37 99 36 92]
14,11,0.025624985082763965,"['LH_Cont_PFCl_1', 'LH_Default_PFC_1', 'LH_SalVentAttn_Med_1', 'LH_SalVentAttn_PFCl_1', 'RH_Cont_PFCl_2', 'RH_Cont_PFCmp_1', 'RH_Cont_Par_2', 'RH_Default_PFCdPFCm_1', 'RH_Default_PFCv_1', 'RH_Default_Par_1', 'RH_SalVentAttn_Med_1']",[26 76 27 89 87 93 83 41 34 81 95]
2,6,0.020360928021666735,"['LH_Vis_2', 'LH_Vis_3', 'LH_Vis_8', 'LH_Vis_9', 'RH_Vis_6', 'RH_Vis_8']",[55  2 57  1  8  7]
17,9,0.020220444297051682,"['LH_Cont_Par_1', 'LH_Default_PFC_6', 'LH_Default_Par_2', 'RH_Cont_PFCl_3', 'RH_Cont_PFCl_4', 'RH_Cont_Par_1', 'RH_Default_PFCdPFCm_2', 'RH_SalVentAttn_TempOccPar_2', 'RH_SomMot_3']",[84 33 80 46 60 96 40 74 85]
7,11,0.019370423549008305,"['LH_SomMot_3', 'LH_SomMot_4', 'LH_SomMot_5', 'LH_SomMot_6', 'RH_DorsAttn_Post_2', 'RH_DorsAttn_Post_3', 'RH_SomMot_4', 'RH_SomMot_5', 'RH_SomMot_6', 'RH_SomMot_7', 'RH_SomMot_8']",[61 11 14 68 64 67 12 63 65 13 62]
23,1,0.018267490223714575,['LH_Default_PFC_7'],[47]
15,3,0.017862160133021967,"['LH_Limbic_OFC_1', 'LH_Limbic_TempPole_1', 'RH_Limbic_OFC_1']",[78 31 30]
20,1,0.014287885696914426,['LH_Default_PFC_3'],[43]
30,3,0.013458801420497728,"['RH_Default_PFCv_2', 'RH_DorsAttn_PrCv_1', 'RH_SalVentAttn_Med_2']",[94 71 77]
32,1,0.012394809932429633,['RH_Limbic_TempPole_1'],[79]
11,1,0.0121184485069574,['LH_DorsAttn_PrCv_1'],[21]
19,1,0.01203554007931573,['LH_Default_PFC_2'],[42]
31,2,0.01195263165167406,"['RH_SalVentAttn_FrOperIns_1', 'RH_SalVentAttn_TempOccPar_1']",[73 75]
12,1,0.011952631651674058,['LH_SalVentAttn_FrOperIns_1'],[24]
10,1,0.01120645580289903,['LH_DorsAttn_Post_4'],[18]
26,1,0.009755558319169811,['RH_Vis_2'],[51]
27,1,0.00838756926308226,['RH_Vis_7'],[56]
34,1,0.008373751191808648,['RH_Default_Temp_1'],[90]
13,1,0.007434122345203057,['LH_SalVentAttn_FrOperIns_2'],[25]
8,1,0.007061034420815543,['LH_DorsAttn_Post_2'],[16]
16,1,0.007061034420815541,['LH_Limbic_TempPole_2'],[32]
24,1,0.007047216349541932,['LH_Default_pCunPCC_1'],[48]
25,1,0.006881399494258591,['RH_Vis_1'],[50]
35,1,0.006674128425154417,['RH_Default_PFCdPFCm_3'],[97]
4,1,0.006535947712418301,['LH_Vis_6'],[5]
36,1,0.00610758750293634,['RH_Default_pCunPCC_1'],[98]
28,1,0.004877779159584906,['RH_SomMot_1'],[58]
21,1,0.004781052660669624,['LH_Default_PFC_4'],[44]
33,1,0.004435600878829334,['RH_Cont_PFCl_1'],[82]
22,1,0.00414542138208349,['LH_Default_PFC_5'],[45]
6,1,0.002832704611090384,['LH_SomMot_2'],[10]
29,1,0.0023628901877875887,['RH_SomMot_2'],[59]
1,1,0.0019207119070320166,['LH_Vis_1'],[0]
5,1,0.0012159902720778235,['LH_SomMot_1'],[9]
