Community ID,N Regions,Mean DC,Parcel Names,Parcel Indices
2,19,0.028817951274571627,"['LH_Default_PFC_7', 'LH_Default_Par_2', 'LH_SalVentAttn_ParOper_1', 'LH_Vis_2', 'LH_Vis_3', 'LH_Vis_4', 'LH_Vis_5', 'LH_Vis_6', 'LH_Vis_7', 'LH_Vis_9', 'RH_Cont_Par_1', 'RH_Cont_Par_2', 'RH_DorsAttn_Post_1', 'RH_SalVentAttn_TempOccPar_2', 'RH_Vis_3', 'RH_Vis_4', 'RH_Vis_5', 'RH_Vis_6', 'RH_Vis_7']",[80 53 54  6 47  1  8  3  5 74 81 56 55  2 52  4 40 23 66]
3,15,0.02692497247900805,"['LH_Cont_Cing_1', 'LH_Cont_pCun_1', 'LH_Default_PFC_2', 'LH_Default_Temp_1', 'LH_Default_Temp_2', 'LH_Default_pCunPCC_2', 'LH_DorsAttn_Post_5', 'LH_Vis_8', 'RH_Cont_Cing_1', 'RH_Cont_pCun_1', 'RH_Default_Temp_1', 'RH_Default_Temp_2', 'RH_Default_pCunPCC_1', 'RH_Default_pCunPCC_2', 'RH_DorsAttn_Post_5']",[91 70 49 88 86 98 35 38 37 99 42  7 19 36 90]
14,4,0.021538918597742127,"['LH_Cont_PFCl_1', 'LH_SalVentAttn_FrOperIns_2', 'LH_SalVentAttn_Med_1', 'RH_Cont_PFCmp_1']",[27 34 25 87]
7,8,0.02063383492932057,"['LH_SomMot_4', 'RH_DorsAttn_Post_2', 'RH_DorsAttn_Post_3', 'RH_SomMot_2', 'RH_SomMot_4', 'RH_SomMot_5', 'RH_SomMot_6', 'RH_SomMot_7']",[61 68 64 67 12 63 59 62]
8,3,0.020132929845652146,"['LH_SomMot_5', 'LH_SomMot_6', 'RH_SomMot_8']",[65 13 14]
18,9,0.0189676058349109,"['LH_Default_PFC_1', 'LH_Default_PFC_3', 'LH_Default_PFC_4', 'LH_Limbic_OFC_1', 'LH_Limbic_TempPole_1', 'LH_Limbic_TempPole_2', 'RH_Default_PFCdPFCm_1', 'RH_Limbic_OFC_1', 'RH_Limbic_TempPole_1']",[44 78 32 31 41 43 95 79 30]
13,3,0.018331974556324765,"['LH_Default_Par_1', 'LH_SalVentAttn_FrOperIns_1', 'RH_Default_Temp_3']",[24 39 92]
15,1,0.018156945653525682,['LH_SalVentAttn_PFCl_1'],[26]
12,5,0.017980074341223458,"['LH_DorsAttn_FEF_1', 'LH_DorsAttn_Post_4', 'LH_DorsAttn_Post_6', 'RH_DorsAttn_FEF_1', 'RH_DorsAttn_Post_4']",[18 22 72 20 69]
19,6,0.017703252313375436,"['LH_Cont_Par_1', 'LH_Default_PFC_6', 'RH_Cont_PFCl_1', 'RH_Cont_PFCl_4', 'RH_Default_PFCdPFCm_2', 'RH_Default_PFCv_2']",[33 46 82 94 85 96]
28,2,0.01728640716328815,"['RH_Default_Par_1', 'RH_SalVentAttn_Med_1']",[89 76]
5,4,0.016650775884702013,"['LH_DorsAttn_PrCv_1', 'LH_SomMot_2', 'RH_Cont_PFCl_2', 'RH_DorsAttn_PrCv_1']",[21 71 10 83]
25,1,0.016250051817767276,['RH_SomMot_1'],[58]
27,2,0.016084234962483936,"['RH_SalVentAttn_FrOperIns_1', 'RH_SalVentAttn_TempOccPar_1']",[73 75]
29,1,0.014384612195829706,['RH_SalVentAttn_Med_2'],[77]
16,1,0.01409443269908386,['LH_SalVentAttn_Med_2'],[28]
11,1,0.013527891776865785,['LH_DorsAttn_Post_3'],[17]
26,1,0.010612278738133732,['RH_SomMot_3'],[60]
1,1,0.009893739031905928,['LH_Vis_1'],[0]
9,1,0.009769376390443422,['LH_DorsAttn_Post_1'],[15]
24,1,0.009161381254404511,['RH_Vis_8'],[57]
10,1,0.008940292114026725,['LH_DorsAttn_Post_2'],[16]
23,1,0.008456659619450317,['RH_Vis_2'],[51]
22,1,0.008152662051430861,['RH_Vis_1'],[50]
6,1,0.007793392198316959,['LH_SomMot_3'],[11]
17,1,0.006798491066616923,['LH_SalVentAttn_Med_3'],[29]
30,1,0.006535947712418302,['RH_Cont_PFCl_3'],[84]
31,1,0.005541046580718264,['RH_Default_PFCv_1'],[93]
20,1,0.004242147880998771,['LH_Default_PFC_5'],[45]
4,1,0.0036065166024126355,['LH_SomMot_1'],[9]
32,1,0.0031919744642042868,['RH_Default_PFCdPFCm_3'],[97]
21,1,0.0026807058270806564,['LH_Default_pCunPCC_1'],[48]
